"filename", "language", "Markdown", "Java", "comment", "blank", "total"
"e:\Homework\Programozás\Java\NHF3WhiteBoard\README.md", "Markdown", -10, 0, 0, -9, -19
"e:\Homework\Programozás\Java\NHF3WhiteBoard\bin\App.class", "Java", 0, -9, 0, 0, -9
"e:\Homework\Programozás\Java\NHF3WhiteBoard\bin\additions\Background.class", "Java", 0, -14, 0, 0, -14
"e:\Homework\Programozás\Java\NHF3WhiteBoard\bin\additions\Brush.class", "Java", 0, -18, 0, 0, -18
"e:\Homework\Programozás\Java\NHF3WhiteBoard\bin\additions\CanvasActivity.class", "Java", 0, -3, 0, -1, -4
"e:\Homework\Programozás\Java\NHF3WhiteBoard\bin\additions\ModeChangerButton$ModesChanger.class", "Java", 0, -13, 0, 0, -13
"e:\Homework\Programozás\Java\NHF3WhiteBoard\bin\additions\ModeChangerButton.class", "Java", 0, -30, 0, -1, -31
"e:\Homework\Programozás\Java\NHF3WhiteBoard\bin\additions\PropertiesInput.class", "Java", 0, -2, 0, 0, -2
"e:\Homework\Programozás\Java\NHF3WhiteBoard\bin\additions\SimpleActions.class", "Java", 0, -2, 0, -1, -3
"e:\Homework\Programozás\Java\NHF3WhiteBoard\bin\canvasmodes\DefaultCanvasMode.class", "Java", 0, -29, 0, 0, -29
"e:\Homework\Programozás\Java\NHF3WhiteBoard\bin\canvasmodes\DrawCanvasMode.class", "Java", 0, -15, 0, 0, -15
"e:\Homework\Programozás\Java\NHF3WhiteBoard\bin\canvasmodes\EraseCanvasMode.class", "Java", 0, -17, 0, 0, -17
"e:\Homework\Programozás\Java\NHF3WhiteBoard\bin\canvasmodes\ImageCanvasMode.class", "Java", 0, -35, 0, 0, -35
"e:\Homework\Programozás\Java\NHF3WhiteBoard\bin\canvasmodes\TextCanvasMode.class", "Java", 0, -18, 0, 0, -18
"e:\Homework\Programozás\Java\NHF3WhiteBoard\bin\containers\CanvasImage.class", "Java", 0, -29, 0, 0, -29
"e:\Homework\Programozás\Java\NHF3WhiteBoard\bin\containers\CanvasText.class", "Java", 0, -21, 0, 0, -21
"e:\Homework\Programozás\Java\NHF3WhiteBoard\bin\containers\Drawing.class", "Java", 0, -31, 0, 0, -31
"e:\Homework\Programozás\Java\NHF3WhiteBoard\bin\controllers\ModesController.class", "Java", 0, -22, 0, -1, -23
"e:\Homework\Programozás\Java\NHF3WhiteBoard\bin\fileios\FileHandler.class", "Java", 0, -29, 0, 0, -29
"e:\Homework\Programozás\Java\NHF3WhiteBoard\bin\listeners\CanvasTextListener.class", "Java", 0, -11, 0, 0, -11
"e:\Homework\Programozás\Java\NHF3WhiteBoard\bin\listeners\DefaultCanvasModeListener.class", "Java", 0, -30, 0, 0, -30
"e:\Homework\Programozás\Java\NHF3WhiteBoard\bin\listeners\DrawCanvasModeListener.class", "Java", 0, -19, 0, 0, -19
"e:\Homework\Programozás\Java\NHF3WhiteBoard\bin\listeners\EraseCanvasModeListener.class", "Java", 0, -16, 0, 0, -16
"e:\Homework\Programozás\Java\NHF3WhiteBoard\bin\listeners\ImageCanvasModeListener.class", "Java", 0, -26, 0, 0, -26
"e:\Homework\Programozás\Java\NHF3WhiteBoard\bin\listeners\ModeChangerButtonListener.class", "Java", 0, -19, 0, 0, -19
"e:\Homework\Programozás\Java\NHF3WhiteBoard\bin\listeners\PropertiesInputListener.class", "Java", 0, -12, 0, 0, -12
"e:\Homework\Programozás\Java\NHF3WhiteBoard\bin\listeners\SimpleActionListener.class", "Java", 0, -20, 0, 0, -20
"e:\Homework\Programozás\Java\NHF3WhiteBoard\bin\listeners\TextCanvasModeListener.class", "Java", 0, -18, 0, 0, -18
"e:\Homework\Programozás\Java\NHF3WhiteBoard\bin\panels\Canvas.class", "Java", 0, -72, 0, 0, -72
"e:\Homework\Programozás\Java\NHF3WhiteBoard\bin\panels\DrawToolPropertiesMenu.class", "Java", 0, -60, 0, 0, -60
"e:\Homework\Programozás\Java\NHF3WhiteBoard\bin\panels\EraseToolPropertiesMenu.class", "Java", 0, -13, 0, 0, -13
"e:\Homework\Programozás\Java\NHF3WhiteBoard\bin\panels\ImageToolPropertiesMenu.class", "Java", 0, -36, 0, 0, -36
"e:\Homework\Programozás\Java\NHF3WhiteBoard\bin\panels\MenuBar.class", "Java", 0, -23, 0, 0, -23
"e:\Homework\Programozás\Java\NHF3WhiteBoard\bin\panels\MoveToolPropertiesMenu.class", "Java", 0, -32, 0, 0, -32
"e:\Homework\Programozás\Java\NHF3WhiteBoard\bin\panels\TextToolPropertiesMenu.class", "Java", 0, -40, 0, 0, -40
"e:\Homework\Programozás\Java\NHF3WhiteBoard\bin\panels\ToolButtonsMenu.class", "Java", 0, -18, 0, 0, -18
"e:\Homework\Programozás\Java\NHF3WhiteBoard\bin\panels\ToolMenu.class", "Java", 0, -26, 0, 0, -26
"e:\Homework\Programozás\Java\NHF3WhiteBoard\bin\panels\ToolPropertiesMenu.class", "Java", 0, -18, 0, 0, -18
"e:\Homework\Programozás\Java\NHF3WhiteBoard\bin\uiholders\Menu.class", "Java", 0, -33, 0, 0, -33
"Total", "-", -10, -879, 0, -13, -902
