"filename", "language", "Java", "comment", "blank", "total"
"e:\Homework\Programozás\Java\NHF3WhiteBoard\src\App.java", "Java", 6, 0, 2, 8
"e:\Homework\Programozás\Java\NHF3WhiteBoard\src\additions\Background.java", "Java", 21, 1, 5, 27
"e:\Homework\Programozás\Java\NHF3WhiteBoard\src\additions\Brush.java", "Java", 36, 0, 13, 49
"e:\Homework\Programozás\Java\NHF3WhiteBoard\src\additions\CanvasActivity.java", "Java", 7, 0, 3, 10
"e:\Homework\Programozás\Java\NHF3WhiteBoard\src\additions\ModeChangerButton.java", "Java", 71, 0, 8, 79
"e:\Homework\Programozás\Java\NHF3WhiteBoard\src\additions\PropertiesInput.java", "Java", 5, 0, 5, 10
"e:\Homework\Programozás\Java\NHF3WhiteBoard\src\additions\SimpleActions.java", "Java", 5, 0, 2, 7
"e:\Homework\Programozás\Java\NHF3WhiteBoard\src\canvasmodes\DefaultCanvasMode.java", "Java", 49, 0, 15, 64
"e:\Homework\Programozás\Java\NHF3WhiteBoard\src\canvasmodes\DrawCanvasMode.java", "Java", 24, 0, 7, 31
"e:\Homework\Programozás\Java\NHF3WhiteBoard\src\canvasmodes\EraseCanvasMode.java", "Java", 27, 0, 6, 33
"e:\Homework\Programozás\Java\NHF3WhiteBoard\src\canvasmodes\ImageCanvasMode.java", "Java", 61, 0, 11, 72
"e:\Homework\Programozás\Java\NHF3WhiteBoard\src\canvasmodes\TextCanvasMode.java", "Java", 28, 0, 9, 37
"e:\Homework\Programozás\Java\NHF3WhiteBoard\src\containers\CanvasImage.java", "Java", 38, 0, 11, 49
"e:\Homework\Programozás\Java\NHF3WhiteBoard\src\containers\CanvasText.java", "Java", 29, 0, 9, 38
"e:\Homework\Programozás\Java\NHF3WhiteBoard\src\containers\Drawing.java", "Java", 54, 0, 11, 65
"e:\Homework\Programozás\Java\NHF3WhiteBoard\src\controllers\ModesController.java", "Java", 36, 1, 8, 45
"e:\Homework\Programozás\Java\NHF3WhiteBoard\src\fileios\FileHandler.java", "Java", 57, 0, 9, 66
"e:\Homework\Programozás\Java\NHF3WhiteBoard\src\listeners\CanvasTextListener.java", "Java", 20, 0, 9, 29
"e:\Homework\Programozás\Java\NHF3WhiteBoard\src\listeners\DefaultCanvasModeListener.java", "Java", 33, 0, 10, 43
"e:\Homework\Programozás\Java\NHF3WhiteBoard\src\listeners\DrawCanvasModeListener.java", "Java", 26, 0, 7, 33
"e:\Homework\Programozás\Java\NHF3WhiteBoard\src\listeners\EraseCanvasModeListener.java", "Java", 24, 0, 7, 31
"e:\Homework\Programozás\Java\NHF3WhiteBoard\src\listeners\ImageCanvasModeListener.java", "Java", 32, 0, 8, 40
"e:\Homework\Programozás\Java\NHF3WhiteBoard\src\listeners\ModeChangerButtonListener.java", "Java", 22, 0, 7, 29
"e:\Homework\Programozás\Java\NHF3WhiteBoard\src\listeners\PropertiesInputListener.java", "Java", 22, 0, 10, 32
"e:\Homework\Programozás\Java\NHF3WhiteBoard\src\listeners\SimpleActionListener.java", "Java", 21, 0, 8, 29
"e:\Homework\Programozás\Java\NHF3WhiteBoard\src\listeners\TextCanvasModeListener.java", "Java", 27, 0, 7, 34
"e:\Homework\Programozás\Java\NHF3WhiteBoard\src\panels\Canvas.java", "Java", 195, 2, 32, 229
"e:\Homework\Programozás\Java\NHF3WhiteBoard\src\panels\DrawToolPropertiesMenu.java", "Java", 102, 0, 16, 118
"e:\Homework\Programozás\Java\NHF3WhiteBoard\src\panels\EraseToolPropertiesMenu.java", "Java", 17, 0, 9, 26
"e:\Homework\Programozás\Java\NHF3WhiteBoard\src\panels\ImageToolPropertiesMenu.java", "Java", 111, 0, 11, 122
"e:\Homework\Programozás\Java\NHF3WhiteBoard\src\panels\MenuBar.java", "Java", 38, 2, 8, 48
"e:\Homework\Programozás\Java\NHF3WhiteBoard\src\panels\MoveToolPropertiesMenu.java", "Java", 37, 0, 11, 48
"e:\Homework\Programozás\Java\NHF3WhiteBoard\src\panels\TextToolPropertiesMenu.java", "Java", 123, 0, 11, 134
"e:\Homework\Programozás\Java\NHF3WhiteBoard\src\panels\ToolButtonsMenu.java", "Java", 44, 0, 9, 53
"e:\Homework\Programozás\Java\NHF3WhiteBoard\src\panels\ToolMenu.java", "Java", 36, 2, 9, 47
"e:\Homework\Programozás\Java\NHF3WhiteBoard\src\panels\ToolPropertiesMenu.java", "Java", 23, 0, 8, 31
"e:\Homework\Programozás\Java\NHF3WhiteBoard\src\uiholders\Menu.java", "Java", 55, 3, 11, 69
"Total", "-", 1562, 11, 342, 1915
